purchase_date;purchase_cost;annual_depreciation_rate;phase_number;description
03/04/1998;629,36;10,00;0000000277;TRETEAU SUPER PRO ROUGE
03/11/1997;3737,03;20,00;0000000321;FACTURE JEULIN 99064
28/11/1997;2829,48;20,00;0000000322;FACTURE JEULIN 99064
28/11/1997;1953,37;20,00;0000000323;FACTURE MATELCO DIFFUSION 27
09/12/1997;536,89;10,00;0000000324;FACTURE JEULIN 108792
24/12/1997;5827,52;10,00;0000000325;FACTURE JEULIN 114488
13/01/1998;380,75;10,00;0000000326;FACTURE LEROY MERLIN
15/01/1998;31,73;10,00;0000000327;FACTURE LEROY MERLIN
04/02/1998;292,49;20,00;0000000328;FACTURE 3441 MATELCO DIFFUSIO
05/05/1998;145,11;10,00;0000000329;FACTURE 3090948 PROLABO
11/05/1998;1042,77;20,00;0000000330;FACTURE 4233 MATELCO DIFFUSION
08/11/2002;800;20,00;0000000371;APPAREIL MAMIIYA M643 108446
14/11/2002;210;20,00;0000000372;APPAREIL YACHITA MAF124G 54031
01/07/2002;500;20,00;0000000373;APPAREIL MAMIYA 645 N°420712
15/10/2002;1865,76;20,00;0000000375;TABLE INFORMATIQUE T5015
19/11/2002;5079,41;20,00;0000000376;ENSEMBLE VARILUX 1500 S
22/12/2003;1199,25;20,00;0000000386;BIP SCAN LS 500ED
22/12/2003;1495;20,00;0000000387;BIP F100 NU
22/12/2003;1392,75;20,00;0000000388;BIP KIT COOPIX 4500
22/12/2003;765,44;20,00;0000000389;BIP AF 24-85/2.8-4
01/07/2003;511,29;20,00;0000000390;BIP MINOLTA SPOTMETER
09/02/2004;484,38;20,00;0000000408;Flashmate cellule/flashmatre
28/12/2004;1518,8;20,00;0000000412;Pulse colerelite standard rvb optix
28/12/2004;301,93;33,33;0000000413;Autometer VF Minolta min 8058103
28/12/2004;210,5;33,33;0000000415;143 Magic arm complet
28/12/2004;172,22;33,33;0000000416;244 Bras à fixation variable
28/12/2004;22,96;50,00;0000000417;175 Pince spring clamp
28/12/2004;32,53;50,00;0000000418;003B Base seule pied backlite
28/12/2004;44,01;50,00;0000000419;237HD Bras flexible heavy 520mm
24/05/2005;799;33,33;0000000422;PC portable EN 23410 Packard bell
12/01/2005;518,47;33,33;0000000423;Scanner perfection 4
30/09/2005;890;33,33;0000000433;NIKON NUM D70+18-70AF
25/10/2005;372,43;33,33;0000000440;TABLEFAC 180X50T6N T5015
15/09/2006;824,04;33,33;0000000446;Vidéoprojecteur EPSON EMP62 SVGA
15/09/2006;6673,69;33,33;0000000448;PC DELL optiplex GX620
29/09/2006;356,77;25,00;0000000449;Embase corps avant F1 & vissante
29/09/2006;2131,01;20,00;0000000450;Chambre sinar F1 4X5/9X12
23/11/2006;58,46;33,33;0000000451;Belkin FIRE-WIRE 3ports
24/11/2006;1844,23;33,33;0000000452;PC dell optiplex GX620MT Pentium
06/12/2006;1210,35;25,00;0000000453;DURST M-670 N/B VEGA & Accessoires
06/12/2006;1512,75;25,00;0000000454;DURST M-670 Couleur Vegacolor & acc
15/12/2006;824,04;33,33;0000000455;Vidéoprogecteur EPSON EMP62 SVGA
30/08/2006;3205,28;33,33;0000000456;PC dell PE 1800 N° 5KCVF2J
13/09/2006;7299,19;33,33;0000000457;Adobe Créative Suite Prénium 2
13/10/2006;2804,62;20,00;0000000458;SB-800 FLASH NIKON
13/10/2006;498,73;20,00;0000000459;Scanner PERFECTION 4990 Photo epson
13/10/2006;7750,08;20,00;0000000460;Scanner flextight 646 Hasselblad
13/10/2006;9807,2;20,00;0000000461;Ixpress 132C Hasselblad
13/10/2006;11385,92;20,00;0000000462;Boitier numériq Hasselblad 503CWD16
